TrackName,Album,Artist,Genre
Everybody Needs Somebody to Love,On Tap & In the Can,The Canettes Blues Band,Blues/R&B
Black Magic Woman,On Tap & In the Can,The Canettes Blues Band,Blues/R&B
Steppin' Rooster,On Tap & In the Can,The Canettes Blues Band,Blues/R&B
Our Love is Drifting,On Tap & In the Can,The Canettes Blues Band,Blues/R&B
Doin' 100,On Tap & In the Can,The Canettes Blues Band,Blues/R&B
Mother Joy,Natural Wonders Music Sampler 1999,Matt Ender,New Age
Soldier's Lament,Natural Wonders Music Sampler 1999,Steve McDonald,New Age
Dulaman,Natural Wonders Music Sampler 1999,Altan,New Age
The Arrow,Natural Wonders Music Sampler 1999,Chris Spheeris,New Age
Spanish Eyes,Natural Wonders Music Sampler 1999,La Esperanza,New Age
Banana Bay,Natural Wonders Music Sampler 1999,Luis Villegas,New Age
Aguas De Marco,Natural Wonders Music Sampler 1999,Rosa Passos,New Age
Tamborea,Natural Wonders Music Sampler 1999,Energipsy,New Age
Gone,Natural Wonders Music Sampler 1999,Hollie Smith,New Age
The Immigrant,Natural Wonders Music Sampler 1999,Joanie Madden,New Age
Pahrump-Big Water,Natural Wonders Music Sampler 1999,Cusco,New Age
Seeker's Quest,Natural Wonders Music Sampler 1999,Cheryl Gunn,New Age
Floating To Forever,Natural Wonders Music Sampler 1999,Dean Everson,New Age
Open Road,Relaxing Jazz,Jeff Bailey,Jazz
Ruby,"Yours Truly, Angry Mob",Kaiser Chiefs,Alternative & Punk
The Angry Mob,"Yours Truly, Angry Mob",Kaiser Chiefs,Alternative & Punk
Heat Dies Down,"Yours Truly, Angry Mob",Kaiser Chiefs,Alternative & Punk
Highroyds,"Yours Truly, Angry Mob",Kaiser Chiefs,Alternative & Punk
Love's Not A Competition (But I'm Winning),"Yours Truly, Angry Mob",Kaiser Chiefs,Alternative & Punk
Thank You Very Much,"Yours Truly, Angry Mob",Kaiser Chiefs,Alternative & Punk
I Can Do It Without You,"Yours Truly, Angry Mob",Kaiser Chiefs,Alternative & Punk
My Kind Of Guy,"Yours Truly, Angry Mob",Kaiser Chiefs,Alternative & Punk
Everything Is Average Nowadays,"Yours Truly, Angry Mob",Kaiser Chiefs,Alternative & Punk
Learnt My Lesson Well,"Yours Truly, Angry Mob",Kaiser Chiefs,Alternative & Punk
Try Your Best,"Yours Truly, Angry Mob",Kaiser Chiefs,Alternative & Punk
Retirement,"Yours Truly, Angry Mob",Kaiser Chiefs,Alternative & Punk
The Angry Mob [Live From Berlin],"Yours Truly, Angry Mob",Kaiser Chiefs,Alternative & Punk
I Like To Fight,"Yours Truly, Angry Mob",Kaiser Chiefs,Alternative & Punk
